ID,A,B,NEITHER
development-1,1,0,0
development-2,1,0,0
development-3,0,1,0
development-4,0,1,0
development-5,0,1,0
development-6,1,0,0
development-7,0,0,1
development-8,0,1,0
development-9,0,1,0
development-10,1,0,0
development-11,0,1,0
development-12,1,0,0
development-13,1,0,0
development-14,1,0,0
development-15,1,0,0
development-16,0,0,1
development-17,1,0,0
development-18,0,0,1
development-19,0,1,0
development-20,0,1,0
development-21,0,1,0
development-22,1,0,0
development-23,1,0,0
development-24,0,1,0
development-25,1,0,0
development-26,0,1,0
development-27,0,1,0
development-28,1,0,0
development-29,0,0,1
development-30,1,0,0
development-31,0,1,0
development-32,0,0,1
development-33,0,1,0
development-34,0,0,1
development-35,1,0,0
development-36,1,0,0
development-37,0,1,0
development-38,0,1,0
development-39,1,0,0
development-40,1,0,0
development-41,0,1,0
development-42,1,0,0
development-43,0,1,0
development-44,0,1,0
development-45,0,1,0
development-46,0,0,1
development-47,0,0,1
development-48,0,1,0
development-49,1,0,0
development-50,0,0,1
development-51,0,1,0
development-52,0,1,0
development-53,0,1,0
development-54,0,1,0
development-55,0,1,0
development-56,0,0,1
development-57,0,1,0
development-58,1,0,0
development-59,1,0,0
development-60,1,0,0
development-61,0,1,0
development-62,1,0,0
development-63,0,1,0
development-64,0,1,0
development-65,0,1,0
development-66,0,1,0
development-67,1,0,0
development-68,0,0,1
development-69,0,1,0
development-70,1,0,0
development-71,0,1,0
development-72,1,0,0
development-73,0,1,0
development-74,1,0,0
development-75,0,1,0
development-76,1,0,0
development-77,0,1,0
development-78,0,1,0
development-79,0,0,1
development-80,0,1,0
development-81,0,0,1
development-82,1,0,0
development-83,0,1,0
development-84,0,1,0
development-85,1,0,0
development-86,1,0,0
development-87,1,0,0
development-88,1,0,0
development-89,0,0,1
development-90,1,0,0
development-91,0,1,0
development-92,0,1,0
development-93,0,0,1
development-94,1,0,0
development-95,1,0,0
development-96,1,0,0
development-97,0,1,0
development-98,0,0,1
development-99,1,0,0
development-100,0,0,1
development-101,1,0,0
development-102,0,0,1
development-103,0,1,0
development-104,1,0,0
development-105,1,0,0
development-106,1,0,0
development-107,1,0,0
development-108,0,1,0
development-109,1,0,0
development-110,0,1,0
development-111,1,0,0
development-112,1,0,0
development-113,0,0,1
development-114,0,1,0
development-115,0,0,1
development-116,0,1,0
development-117,1,0,0
development-118,1,0,0
development-119,0,1,0
development-120,1,0,0
development-121,0,1,0
development-122,0,0,1
development-123,0,0,1
development-124,1,0,0
development-125,0,1,0
development-126,0,1,0
development-127,0,1,0
development-128,0,1,0
development-129,1,0,0
development-130,1,0,0
development-131,0,1,0
development-132,1,0,0
development-133,1,0,0
development-134,0,1,0
development-135,0,1,0
development-136,1,0,0
development-137,1,0,0
development-138,0,1,0
development-139,1,0,0
development-140,0,1,0
development-141,1,0,0
development-142,0,0,1
development-143,1,0,0
development-144,0,1,0
development-145,1,0,0
development-146,1,0,0
development-147,0,1,0
development-148,0,1,0
development-149,0,1,0
development-150,0,1,0
development-151,1,0,0
development-152,0,1,0
development-153,1,0,0
development-154,0,1,0
development-155,1,0,0
development-156,0,0,1
development-157,0,1,0
development-158,1,0,0
development-159,1,0,0
development-160,1,0,0
development-161,1,0,0
development-162,0,1,0
development-163,1,0,0
development-164,1,0,0
development-165,0,1,0
development-166,0,1,0
development-167,1,0,0
development-168,0,1,0
development-169,0,1,0
development-170,1,0,0
development-171,1,0,0
development-172,0,1,0
development-173,1,0,0
development-174,1,0,0
development-175,1,0,0
development-176,0,1,0
development-177,0,1,0
development-178,0,1,0
development-179,0,0,1
development-180,1,0,0
development-181,0,0,1
development-182,1,0,0
development-183,1,0,0
development-184,1,0,0
development-185,1,0,0
development-186,1,0,0
development-187,1,0,0
development-188,0,1,0
development-189,1,0,0
development-190,1,0,0
development-191,0,0,1
development-192,0,1,0
development-193,0,1,0
development-194,0,1,0
development-195,0,1,0
development-196,1,0,0
development-197,1,0,0
development-198,0,1,0
development-199,1,0,0
development-200,0,1,0
development-201,0,0,1
development-202,0,1,0
development-203,1,0,0
development-204,0,1,0
development-205,0,1,0
development-206,1,0,0
development-207,0,1,0
development-208,1,0,0
development-209,0,1,0
development-210,0,1,0
development-211,0,1,0
development-212,0,1,0
development-213,0,1,0
development-214,0,1,0
development-215,0,1,0
development-216,0,1,0
development-217,1,0,0
development-218,0,1,0
development-219,1,0,0
development-220,0,1,0
development-221,1,0,0
development-222,1,0,0
development-223,1,0,0
development-224,0,0,1
development-225,1,0,0
development-226,1,0,0
development-227,0,1,0
development-228,1,0,0
development-229,0,1,0
development-230,0,1,0
development-231,0,1,0
development-232,0,1,0
development-233,1,0,0
development-234,0,0,1
development-235,0,1,0
development-236,0,1,0
development-237,0,1,0
development-238,0,1,0
development-239,1,0,0
development-240,0,0,1
development-241,0,1,0
development-242,1,0,0
development-243,0,1,0
development-244,1,0,0
development-245,0,0,1
development-246,0,1,0
development-247,1,0,0
development-248,0,1,0
development-249,1,0,0
development-250,0,1,0
development-251,0,1,0
development-252,1,0,0
development-253,1,0,0
development-254,0,1,0
development-255,0,0,1
development-256,1,0,0
development-257,0,0,1
development-258,0,1,0
development-259,1,0,0
development-260,1,0,0
development-261,0,1,0
development-262,0,1,0
development-263,0,1,0
development-264,1,0,0
development-265,1,0,0
development-266,1,0,0
development-267,0,1,0
development-268,1,0,0
development-269,0,1,0
development-270,0,1,0
development-271,1,0,0
development-272,0,1,0
development-273,0,1,0
development-274,1,0,0
development-275,0,1,0
development-276,1,0,0
development-277,1,0,0
development-278,1,0,0
development-279,0,1,0
development-280,0,0,1
development-281,0,1,0
development-282,0,1,0
development-283,0,1,0
development-284,0,1,0
development-285,1,0,0
development-286,1,0,0
development-287,1,0,0
development-288,0,1,0
development-289,1,0,0
development-290,0,1,0
development-291,0,1,0
development-292,1,0,0
development-293,0,1,0
development-294,1,0,0
development-295,0,1,0
development-296,0,1,0
development-297,1,0,0
development-298,1,0,0
development-299,1,0,0
development-300,1,0,0
development-301,0,1,0
development-302,1,0,0
development-303,0,1,0
development-304,1,0,0
development-305,0,1,0
development-306,0,1,0
development-307,1,0,0
development-308,1,0,0
development-309,0,1,0
development-310,0,1,0
development-311,1,0,0
development-312,1,0,0
development-313,0,1,0
development-314,1,0,0
development-315,1,0,0
development-316,1,0,0
development-317,1,0,0
development-318,0,1,0
development-319,1,0,0
development-320,1,0,0
development-321,1,0,0
development-322,0,1,0
development-323,1,0,0
development-324,0,1,0
development-325,1,0,0
development-326,0,1,0
development-327,1,0,0
development-328,0,1,0
development-329,0,1,0
development-330,1,0,0
development-331,0,1,0
development-332,0,1,0
development-333,1,0,0
development-334,1,0,0
development-335,0,0,1
development-336,0,0,1
development-337,1,0,0
development-338,1,0,0
development-339,1,0,0
development-340,0,1,0
development-341,0,0,1
development-342,0,1,0
development-343,1,0,0
development-344,0,1,0
development-345,1,0,0
development-346,0,1,0
development-347,1,0,0
development-348,0,1,0
development-349,0,0,1
development-350,0,0,1
development-351,0,0,1
development-352,1,0,0
development-353,0,1,0
development-354,0,1,0
development-355,1,0,0
development-356,1,0,0
development-357,1,0,0
development-358,0,0,1
development-359,0,1,0
development-360,1,0,0
development-361,0,1,0
development-362,0,1,0
development-363,0,1,0
development-364,1,0,0
development-365,1,0,0
development-366,0,1,0
development-367,1,0,0
development-368,1,0,0
development-369,0,0,1
development-370,1,0,0
development-371,0,1,0
development-372,1,0,0
development-373,1,0,0
development-374,0,1,0
development-375,0,0,1
development-376,0,1,0
development-377,0,0,1
development-378,0,1,0
development-379,0,1,0
development-380,1,0,0
development-381,1,0,0
development-382,0,1,0
development-383,1,0,0
development-384,0,1,0
development-385,0,1,0
development-386,1,0,0
development-387,1,0,0
development-388,0,1,0
development-389,1,0,0
development-390,1,0,0
development-391,1,0,0
development-392,1,0,0
development-393,0,1,0
development-394,0,1,0
development-395,0,0,1
development-396,0,1,0
development-397,0,1,0
development-398,0,1,0
development-399,1,0,0
development-400,0,0,1
development-401,0,1,0
development-402,0,1,0
development-403,0,1,0
development-404,1,0,0
development-405,0,0,1
development-406,1,0,0
development-407,0,0,1
development-408,1,0,0
development-409,1,0,0
development-410,1,0,0
development-411,1,0,0
development-412,1,0,0
development-413,0,0,1
development-414,1,0,0
development-415,0,1,0
development-416,0,1,0
development-417,1,0,0
development-418,0,0,1
development-419,1,0,0
development-420,1,0,0
development-421,1,0,0
development-422,1,0,0
development-423,1,0,0
development-424,1,0,0
development-425,1,0,0
development-426,0,1,0
development-427,0,0,1
development-428,1,0,0
development-429,0,0,1
development-430,1,0,0
development-431,0,1,0
development-432,0,1,0
development-433,1,0,0
development-434,1,0,0
development-435,0,1,0
development-436,0,1,0
development-437,1,0,0
development-438,0,1,0
development-439,0,0,1
development-440,0,1,0
development-441,1,0,0
development-442,0,1,0
development-443,0,1,0
development-444,1,0,0
development-445,0,1,0
development-446,0,1,0
development-447,1,0,0
development-448,0,1,0
development-449,0,1,0
development-450,1,0,0
development-451,0,1,0
development-452,1,0,0
development-453,0,0,1
development-454,0,1,0
development-455,0,1,0
development-456,0,1,0
development-457,0,1,0
development-458,0,1,0
development-459,0,1,0
development-460,1,0,0
development-461,0,1,0
development-462,1,0,0
development-463,0,1,0
development-464,0,1,0
development-465,0,1,0
development-466,0,1,0
development-467,1,0,0
development-468,1,0,0
development-469,1,0,0
development-470,0,1,0
development-471,1,0,0
development-472,1,0,0
development-473,0,1,0
development-474,1,0,0
development-475,0,1,0
development-476,0,1,0
development-477,0,1,0
development-478,0,1,0
development-479,0,1,0
development-480,1,0,0
development-481,0,1,0
development-482,1,0,0
development-483,1,0,0
development-484,1,0,0
development-485,1,0,0
development-486,1,0,0
development-487,0,0,1
development-488,1,0,0
development-489,1,0,0
development-490,0,1,0
development-491,1,0,0
development-492,1,0,0
development-493,1,0,0
development-494,0,1,0
development-495,0,1,0
development-496,0,1,0
development-497,0,1,0
development-498,0,1,0
development-499,0,1,0
development-500,0,1,0
development-501,0,0,1
development-502,1,0,0
development-503,1,0,0
development-504,0,1,0
development-505,0,0,1
development-506,1,0,0
development-507,0,1,0
development-508,0,1,0
development-509,0,1,0
development-510,1,0,0
development-511,1,0,0
development-512,1,0,0
development-513,1,0,0
development-514,0,0,1
development-515,1,0,0
development-516,0,1,0
development-517,0,1,0
development-518,0,1,0
development-519,0,1,0
development-520,0,1,0
development-521,1,0,0
development-522,1,0,0
development-523,1,0,0
development-524,0,1,0
development-525,1,0,0
development-526,1,0,0
development-527,0,1,0
development-528,1,0,0
development-529,0,0,1
development-530,0,0,1
development-531,0,1,0
development-532,0,0,1
development-533,0,1,0
development-534,0,1,0
development-535,0,0,1
development-536,0,1,0
development-537,0,1,0
development-538,1,0,0
development-539,0,1,0
development-540,0,1,0
development-541,0,0,1
development-542,1,0,0
development-543,1,0,0
development-544,0,1,0
development-545,0,1,0
development-546,1,0,0
development-547,0,1,0
development-548,0,1,0
development-549,0,1,0
development-550,1,0,0
development-551,0,1,0
development-552,1,0,0
development-553,1,0,0
development-554,0,1,0
development-555,1,0,0
development-556,1,0,0
development-557,1,0,0
development-558,0,0,1
development-559,0,1,0
development-560,1,0,0
development-561,0,1,0
development-562,1,0,0
development-563,0,1,0
development-564,0,1,0
development-565,0,0,1
development-566,0,1,0
development-567,0,1,0
development-568,0,1,0
development-569,0,1,0
development-570,1,0,0
development-571,0,1,0
development-572,0,1,0
development-573,1,0,0
development-574,0,1,0
development-575,0,1,0
development-576,0,1,0
development-577,0,1,0
development-578,0,1,0
development-579,0,1,0
development-580,1,0,0
development-581,1,0,0
development-582,0,0,1
development-583,1,0,0
development-584,1,0,0
development-585,1,0,0
development-586,1,0,0
development-587,0,1,0
development-588,1,0,0
development-589,1,0,0
development-590,0,1,0
development-591,1,0,0
development-592,0,1,0
development-593,0,1,0
development-594,1,0,0
development-595,0,1,0
development-596,0,1,0
development-597,0,1,0
development-598,1,0,0
development-599,1,0,0
development-600,1,0,0
development-601,1,0,0
development-602,1,0,0
development-603,1,0,0
development-604,1,0,0
development-605,0,1,0
development-606,0,1,0
development-607,0,1,0
development-608,0,1,0
development-609,0,1,0
development-610,1,0,0
development-611,1,0,0
development-612,1,0,0
development-613,1,0,0
development-614,1,0,0
development-615,0,1,0
development-616,0,1,0
development-617,1,0,0
development-618,0,1,0
development-619,1,0,0
development-620,1,0,0
development-621,0,1,0
development-622,0,1,0
development-623,1,0,0
development-624,0,1,0
development-625,1,0,0
development-626,0,1,0
development-627,0,1,0
development-628,1,0,0
development-629,1,0,0
development-630,0,1,0
development-631,1,0,0
development-632,1,0,0
development-633,0,0,1
development-634,0,1,0
development-635,1,0,0
development-636,0,1,0
development-637,0,1,0
development-638,1,0,0
development-639,1,0,0
development-640,1,0,0
development-641,0,1,0
development-642,1,0,0
development-643,0,1,0
development-644,0,1,0
development-645,0,1,0
development-646,0,1,0
development-647,1,0,0
development-648,1,0,0
development-649,1,0,0
development-650,0,1,0
development-651,0,1,0
development-652,1,0,0
development-653,1,0,0
development-654,1,0,0
development-655,0,1,0
development-656,1,0,0
development-657,0,0,1
development-658,0,1,0
development-659,1,0,0
development-660,1,0,0
development-661,0,1,0
development-662,0,0,1
development-663,0,1,0
development-664,1,0,0
development-665,0,1,0
development-666,1,0,0
development-667,0,1,0
development-668,1,0,0
development-669,0,0,1
development-670,0,1,0
development-671,0,1,0
development-672,0,1,0
development-673,1,0,0
development-674,1,0,0
development-675,0,1,0
development-676,0,0,1
development-677,1,0,0
development-678,1,0,0
development-679,1,0,0
development-680,1,0,0
development-681,0,1,0
development-682,1,0,0
development-683,0,1,0
development-684,1,0,0
development-685,0,1,0
development-686,1,0,0
development-687,0,1,0
development-688,0,0,1
development-689,1,0,0
development-690,1,0,0
development-691,1,0,0
development-692,1,0,0
development-693,1,0,0
development-694,1,0,0
development-695,0,1,0
development-696,0,1,0
development-697,1,0,0
development-698,1,0,0
development-699,1,0,0
development-700,0,1,0
development-701,1,0,0
development-702,0,1,0
development-703,1,0,0
development-704,0,1,0
development-705,1,0,0
development-706,0,1,0
development-707,0,1,0
development-708,0,1,0
development-709,1,0,0
development-710,1,0,0
development-711,0,1,0
development-712,1,0,0
development-713,0,1,0
development-714,1,0,0
development-715,0,1,0
development-716,1,0,0
development-717,1,0,0
development-718,0,1,0
development-719,0,1,0
development-720,0,1,0
development-721,0,0,1
development-722,0,1,0
development-723,0,1,0
development-724,0,1,0
development-725,1,0,0
development-726,0,1,0
development-727,1,0,0
development-728,1,0,0
development-729,0,1,0
development-730,1,0,0
development-731,1,0,0
development-732,0,1,0
development-733,0,0,1
development-734,0,0,1
development-735,1,0,0
development-736,1,0,0
development-737,0,1,0
development-738,1,0,0
development-739,1,0,0
development-740,0,1,0
development-741,1,0,0
development-742,0,1,0
development-743,0,1,0
development-744,0,1,0
development-745,0,1,0
development-746,0,0,1
development-747,1,0,0
development-748,0,1,0
development-749,0,1,0
development-750,0,1,0
development-751,1,0,0
development-752,0,1,0
development-753,0,1,0
development-754,0,1,0
development-755,1,0,0
development-756,0,1,0
development-757,0,1,0
development-758,0,1,0
development-759,1,0,0
development-760,0,1,0
development-761,0,1,0
development-762,0,1,0
development-763,0,1,0
development-764,0,1,0
development-765,0,1,0
development-766,0,1,0
development-767,0,1,0
development-768,0,1,0
development-769,0,1,0
development-770,1,0,0
development-771,0,1,0
development-772,0,1,0
development-773,1,0,0
development-774,1,0,0
development-775,1,0,0
development-776,1,0,0
development-777,0,1,0
development-778,0,1,0
development-779,1,0,0
development-780,0,1,0
development-781,1,0,0
development-782,0,1,0
development-783,0,1,0
development-784,1,0,0
development-785,0,0,1
development-786,0,1,0
development-787,1,0,0
development-788,1,0,0
development-789,1,0,0
development-790,0,1,0
development-791,0,1,0
development-792,0,1,0
development-793,1,0,0
development-794,0,1,0
development-795,1,0,0
development-796,0,1,0
development-797,0,1,0
development-798,0,1,0
development-799,0,1,0
development-800,0,1,0
development-801,1,0,0
development-802,1,0,0
development-803,1,0,0
development-804,1,0,0
development-805,0,1,0
development-806,0,1,0
development-807,0,1,0
development-808,0,1,0
development-809,1,0,0
development-810,0,1,0
development-811,0,1,0
development-812,1,0,0
development-813,1,0,0
development-814,0,1,0
development-815,0,1,0
development-816,0,0,1
development-817,0,1,0
development-818,0,1,0
development-819,0,1,0
development-820,0,1,0
development-821,1,0,0
development-822,1,0,0
development-823,1,0,0
development-824,1,0,0
development-825,0,1,0
development-826,1,0,0
development-827,0,1,0
development-828,0,1,0
development-829,0,1,0
development-830,1,0,0
development-831,0,1,0
development-832,1,0,0
development-833,1,0,0
development-834,0,0,1
development-835,0,0,1
development-836,1,0,0
development-837,0,1,0
development-838,0,1,0
development-839,0,0,1
development-840,1,0,0
development-841,1,0,0
development-842,1,0,0
development-843,1,0,0
development-844,1,0,0
development-845,0,1,0
development-846,0,1,0
development-847,1,0,0
development-848,0,0,1
development-849,1,0,0
development-850,1,0,0
development-851,1,0,0
development-852,1,0,0
development-853,0,1,0
development-854,1,0,0
development-855,1,0,0
development-856,0,1,0
development-857,0,1,0
development-858,0,1,0
development-859,0,1,0
development-860,0,1,0
development-861,1,0,0
development-862,1,0,0
development-863,1,0,0
development-864,1,0,0
development-865,0,1,0
development-866,1,0,0
development-867,1,0,0
development-868,1,0,0
development-869,0,1,0
development-870,1,0,0
development-871,0,1,0
development-872,0,1,0
development-873,0,0,1
development-874,0,0,1
development-875,0,1,0
development-876,0,1,0
development-877,1,0,0
development-878,0,1,0
development-879,0,1,0
development-880,1,0,0
development-881,0,1,0
development-882,1,0,0
development-883,0,0,1
development-884,0,1,0
development-885,0,1,0
development-886,0,0,1
development-887,0,1,0
development-888,1,0,0
development-889,1,0,0
development-890,1,0,0
development-891,0,1,0
development-892,0,1,0
development-893,1,0,0
development-894,0,1,0
development-895,0,1,0
development-896,0,1,0
development-897,0,1,0
development-898,1,0,0
development-899,0,1,0
development-900,0,1,0
development-901,0,0,1
development-902,1,0,0
development-903,1,0,0
development-904,1,0,0
development-905,1,0,0
development-906,0,0,1
development-907,0,1,0
development-908,1,0,0
development-909,0,1,0
development-910,1,0,0
development-911,1,0,0
development-912,0,1,0
development-913,1,0,0
development-914,1,0,0
development-915,1,0,0
development-916,0,0,1
development-917,0,1,0
development-918,0,0,1
development-919,1,0,0
development-920,1,0,0
development-921,0,1,0
development-922,1,0,0
development-923,1,0,0
development-924,0,0,1
development-925,0,1,0
development-926,1,0,0
development-927,0,0,1
development-928,1,0,0
development-929,0,1,0
development-930,0,1,0
development-931,1,0,0
development-932,0,1,0
development-933,1,0,0
development-934,1,0,0
development-935,1,0,0
development-936,0,1,0
development-937,0,0,1
development-938,1,0,0
development-939,0,1,0
development-940,0,1,0
development-941,0,1,0
development-942,0,0,1
development-943,0,1,0
development-944,0,1,0
development-945,0,1,0
development-946,0,1,0
development-947,0,1,0
development-948,0,1,0
development-949,0,1,0
development-950,1,0,0
development-951,1,0,0
development-952,1,0,0
development-953,1,0,0
development-954,0,1,0
development-955,0,1,0
development-956,0,1,0
development-957,1,0,0
development-958,1,0,0
development-959,1,0,0
development-960,1,0,0
development-961,0,1,0
development-962,1,0,0
development-963,1,0,0
development-964,0,1,0
development-965,0,1,0
development-966,1,0,0
development-967,1,0,0
development-968,0,1,0
development-969,0,0,1
development-970,0,1,0
development-971,0,1,0
development-972,0,1,0
development-973,0,1,0
development-974,0,1,0
development-975,1,0,0
development-976,1,0,0
development-977,1,0,0
development-978,0,1,0
development-979,0,1,0
development-980,0,1,0
development-981,1,0,0
development-982,1,0,0
development-983,0,0,1
development-984,0,1,0
development-985,0,0,1
development-986,0,1,0
development-987,1,0,0
development-988,1,0,0
development-989,0,0,1
development-990,1,0,0
development-991,1,0,0
development-992,0,1,0
development-993,0,1,0
development-994,0,1,0
development-995,0,1,0
development-996,1,0,0
development-997,0,0,1
development-998,0,1,0
development-999,0,0,1
development-1000,1,0,0
development-1001,1,0,0
development-1002,1,0,0
development-1003,0,1,0
development-1004,1,0,0
development-1005,1,0,0
development-1006,0,0,1
development-1007,0,0,1
development-1008,0,1,0
development-1009,1,0,0
development-1010,0,1,0
development-1011,1,0,0
development-1012,0,1,0
development-1013,0,0,1
development-1014,1,0,0
development-1015,0,1,0
development-1016,1,0,0
development-1017,0,1,0
development-1018,0,1,0
development-1019,0,1,0
development-1020,0,1,0
development-1021,0,1,0
development-1022,0,1,0
development-1023,0,1,0
